"DNA polymorphism id" "Map Set(外部v5)" "Chr" "Start" "End" "LG" "MP"
"9_12652269" "corn_B73_v5" 1 39898 39898 NA NA
"9_12652123" "corn_B73_v5" 1 411390 411390 1 3.8
"9_226168756" "corn_B73_v5" 1 417039 417039 NA NA
"9_12652277" "corn_B73_v5" 1 706946 706946 NA NA
"9_12652243" "corn_B73_v5" 1 784303 784303 NA NA
"9_222269637" "corn_B73_v5" 1 1494348 1494348 NA NA
"9_12652152" "corn_B73_v5" 1 1707683 1707683 1 0
"9_12667060" "corn_B73_v5" 1 1792725 1792725 1 0
"9_12667073" "corn_B73_v5" 1 1792802 1792802 1 0
"9_12667071" "corn_B73_v5" 1 1792818 1792818 1 0
"9_12652328" "corn_B73_v5" 1 1799323 1799323 NA NA
"9_12652122" "corn_B73_v5" 1 1806677 1806677 NA NA
"9_12633797" "corn_B73_v5" 1 1834246 1834246 1 0.3
"9_12652131" "corn_B73_v5" 1 2023026 2023026 NA NA
"9_12661382" "corn_B73_v5" 1 2096028 2096028 1 0.8
"9_12661380" "corn_B73_v5" 1 2096513 2096513 1 2.9
"9_12652124" "corn_B73_v5" 1 2097185 2097185 NA NA
"9_12652141" "corn_B73_v5" 1 2145351 2145351 NA NA
"9_12652215" "corn_B73_v5" 1 2149063 2149063 NA NA
"9_12652115" "corn_B73_v5" 1 2377095 2377095 NA NA
"9_12652197" "corn_B73_v5" 1 2515255 2515255 NA NA
"9_12652146" "corn_B73_v5" 1 2766883 2766883 NA NA
"9_12652253" "corn_B73_v5" 1 2772928 2772928 NA NA
"9_12652101" "corn_B73_v5" 1 2801133 2801133 NA NA
"9_12652224" "corn_B73_v5" 1 2801942 2801942 NA NA
"9_12632959" "corn_B73_v5" 1 2811769 2811769 1 4.2
"9_12632975" "corn_B73_v5" 1 2812486 2812486 NA NA
"9_12632977" "corn_B73_v5" 1 2812806 2812806 NA NA
"9_12632976" "corn_B73_v5" 1 2812858 2812858 1 11
"9_12633046" "corn_B73_v5" 1 2813576 2813576 NA NA
"9_12632686" "corn_B73_v5" 1 2815359 2815359 NA NA
"9_12633031" "corn_B73_v5" 1 2816829 2816829 1 280
"9_12633028" "corn_B73_v5" 1 2817005 2817005 NA NA
"9_67925572" "corn_B73_v5" 1 2817164 2817164 1 1.2
"9_12633025" "corn_B73_v5" 1 2817273 2817273 1 4.3
"9_12652210" "corn_B73_v5" 1 2869041 2869041 NA NA
"9_23609097" "corn_B73_v5" 1 2966688 2966688 NA NA
"9_12649246" "corn_B73_v5" 1 3027110 3027110 NA NA
"9_233698439" "corn_B73_v5" 1 3119262 3119262 NA NA
"9_233699125" "corn_B73_v5" 1 3135460 3135460 NA NA
"9_233699162" "corn_B73_v5" 1 3136499 3136499 NA NA
"9_12667214" "corn_B73_v5" 1 3216177 3216177 1 19
"9_12652240" "corn_B73_v5" 1 3270364 3270364 NA NA
"9_233699269" "corn_B73_v5" 1 3270535 3270535 NA NA
"9_12652182" "corn_B73_v5" 1 3270715 3270715 NA NA
"9_12652220" "corn_B73_v5" 1 3270787 3270787 NA NA
"9_12652236" "corn_B73_v5" 1 3270823 3270823 NA NA
"9_12652143" "corn_B73_v5" 1 3275677 3275677 NA NA
"9_12652247" "corn_B73_v5" 1 3278582 3278582 NA NA
"9_12652193" "corn_B73_v5" 1 3278583 3278583 NA NA
"9_12652310" "corn_B73_v5" 1 3280479 3280479 NA NA
"9_233700110" "corn_B73_v5" 1 3283464 3283464 NA NA
"9_233700135" "corn_B73_v5" 1 3360142 3360142 NA NA
"9_12652094" "corn_B73_v5" 1 3360486 3360486 NA NA
"9_12652133" "corn_B73_v5" 1 3368477 3368477 NA NA
"9_12652330" "corn_B73_v5" 1 3372727 3372727 NA NA
"9_233700327" "corn_B73_v5" 1 3375267 3375267 NA NA
"9_233701410" "corn_B73_v5" 1 3434553 3434553 NA NA
"9_12666632" "corn_B73_v5" 1 3435789 3435789 NA NA
"9_12652199" "corn_B73_v5" 1 3435853 3435853 1 14.1
"9_12652156" "corn_B73_v5" 1 3474853 3474853 NA NA
"9_12652181" "corn_B73_v5" 1 3477516 3477516 NA NA
"9_12652163" "corn_B73_v5" 1 3477911 3477911 NA NA
"9_12652114" "corn_B73_v5" 1 3481013 3481013 1 9.8
"9_12652178" "corn_B73_v5" 1 3482541 3482541 NA NA
"9_12668499" "corn_B73_v5" 1 3642343 3642343 1 4.4
"9_12652162" "corn_B73_v5" 1 3734642 3734642 NA NA
"9_12652281" "corn_B73_v5" 1 3734664 3734664 NA NA
"9_12652322" "corn_B73_v5" 1 3797958 3797958 NA NA
"9_12652340" "corn_B73_v5" 1 3798025 3798025 NA NA
"9_12652332" "corn_B73_v5" 1 3798051 3798051 NA NA
"9_23610874" "corn_B73_v5" 1 3798067 3798067 NA NA
"9_12649280" "corn_B73_v5" 1 3836238 3836238 NA NA
"9_257743052" "corn_B73_v5" 1 3843917 3843917 NA NA
"9_12652235" "corn_B73_v5" 1 3903843 3903843 NA NA
"9_12633684" "corn_B73_v5" 1 3904351 3904351 1 280
"9_12633685" "corn_B73_v5" 1 3904751 3904751 NA NA
"9_12634151" "corn_B73_v5" 1 3951771 3951771 NA NA
"9_12634152" "corn_B73_v5" 1 3952064 3952064 1 4.4
"9_12634153" "corn_B73_v5" 1 3952218 3952218 1 4.3
"9_12634155" "corn_B73_v5" 1 3952228 3952228 1 4.3
"9_12634154" "corn_B73_v5" 1 3952251 3952251 1 8.4
"9_233704859" "corn_B73_v5" 1 3952631 3952631 NA NA
"9_12652297" "corn_B73_v5" 1 4083239 4083239 1 11.8
"9_12652290" "corn_B73_v5" 1 4094164 4094164 NA NA
"9_12652305" "corn_B73_v5" 1 4205080 4205080 NA NA
"9_233710076" "corn_B73_v5" 1 4244188 4244188 NA NA
"9_233711166" "corn_B73_v5" 1 4359334 4359334 NA NA
"9_12652242" "corn_B73_v5" 1 4372033 4372033 NA NA
"9_12652185" "corn_B73_v5" 1 4373749 4373749 NA NA
"9_233712037" "corn_B73_v5" 1 4454361 4454361 NA NA
"9_12652194" "corn_B73_v5" 1 4496504 4496504 NA NA
"9_12652120" "corn_B73_v5" 1 4497160 4497160 NA NA
"9_12652113" "corn_B73_v5" 1 4680316 4680316 NA NA
"9_12652339" "corn_B73_v5" 1 4680533 4680533 NA NA
"9_23611990" "corn_B73_v5" 1 4856128 4856128 NA NA
"9_12652187" "corn_B73_v5" 1 4860583 4860583 NA NA
"9_23612100" "corn_B73_v5" 1 5049422 5049422 NA NA
"9_23612106" "corn_B73_v5" 1 5050612 5050612 NA NA
"9_12652268" "corn_B73_v5" 1 5060610 5060610 NA NA
"9_233719827" "corn_B73_v5" 1 5369568 5369568 NA NA
"9_233720096" "corn_B73_v5" 1 5373270 5373270 NA NA
"9_12652394" "corn_B73_v5" 1 5377432 5377432 NA NA
"9_12666993" "corn_B73_v5" 1 5387515 5387515 NA NA
"9_12668614" "corn_B73_v5" 1 5418007 5418007 NA NA
"9_233721011" "corn_B73_v5" 1 5473960 5473960 NA NA
"9_12652434" "corn_B73_v5" 1 5476046 5476046 NA NA
"9_233721510" "corn_B73_v5" 1 5492253 5492253 NA NA
"9_233721763" "corn_B73_v5" 1 5558135 5558135 NA NA
"9_12667879" "corn_B73_v5" 1 5615598 5615598 1 279.1
